,SupplierID,SupplierLocation,ShipperID,ShippingMethod,ProductID,ProductName,ProductCategory,ProductSubCategory,ProductPrice,CustomerID,CustomerSegment,DateID,Annee,Mois,Jour,id,QuantitySold,TotalAmount,DiscountAmount,NetAmount,id,StockReceived,StockSold,StockOnHand
0,1,Irwinhaven,1,Ground,1,Nathaniel,Electronics,Camera,652.35,1,Silver,1,2023.0,9.0,14.0,1,49,31965.2,121.07,31844.1,1,475,127,348
1,1,Irwinhaven,1,Ground,1,Nathaniel,Electronics,Camera,652.35,1,Silver,1,2023.0,9.0,14.0,1,49,31965.2,121.07,31844.1,2291,165,28,137
2,4,West Denise,18,Sea,22,Cynthia,Electronics,Headphones,872.85,1411,Gold,1,2023.0,9.0,14.0,1435,27,23566.9,237.47,23329.5,1435,399,36,363
3,10,Alexandrachester,7,Ground,4,Amy,Home & Garden,Decor,364.01,2070,Gold,1,2023.0,9.0,14.0,2106,62,22568.6,63.2,22505.4,2106,124,115,9
4,13,West Lindafurt,11,Sea,32,NonExistentProduct,Books,Non-fiction,642.11,2240,Silver,1,2023.0,9.0,14.0,2277,63,40452.9,52.63,40400.3,2277,180,138,42
5,11,Dennischester,2,Air,1,Nathaniel,Electronics,Camera,652.35,1134,Gold,1,2023.0,9.0,14.0,2291,7,4566.45,50.43,4516.02,1,475,127,348
6,11,Dennischester,2,Air,1,Nathaniel,Electronics,Camera,652.35,1134,Gold,1,2023.0,9.0,14.0,2291,7,4566.45,50.43,4516.02,2291,165,28,137
7,8,Seanfort,4,Air,53,NonExistentProduct,Toys,Action Figures,386.57,2884,Bronze,1,2023.0,9.0,14.0,2942,100,38657.0,20.29,38636.7,2942,132,99,33
8,1,Irwinhaven,3,Sea,19,Wanda,Toys,Educational,268.61,2964,Bronze,1,2023.0,9.0,14.0,3025,4,1074.44,33.83,1040.61,3025,335,66,269
9,14,Dustinmouth,15,Air,13,Robert,Electronics,Mobile,847.43,3088,Silver,1,2023.0,9.0,14.0,3156,36,30507.5,1.41,30506.1,3156,174,39,135
10,12,Herreraland,4,Air,14,Shawn,Electronics,Headphones,461.09,4356,Bronze,1,2023.0,9.0,14.0,4487,59,27204.3,27.49,27176.8,4487,321,76,245
11,2,Calderonchester,2,Air,2,NonExistentProduct,Electronics,Mobile,847.43,2,Gold,2,2023.0,2.0,11.0,2,73,61862.4,91.09,61771.3,2,487,243,244
12,12,Herreraland,4,Air,4,Amy,Home & Garden,Decor,364.01,2910,Silver,2,2023.0,2.0,11.0,2969,3,1092.03,1.38,1090.65,2969,270,152,118
13,10,Alexandrachester,6,Ground,7,Shannon,Home & Garden,Gardening Tools,68.01,2998,Gold,2,2023.0,2.0,11.0,3061,19,1292.19,18.06,1274.13,3061,475,386,89
